Processes: 657 total, 2 running, 655 sleeping, 2330 threads 
2023/06/10 02:44:39
Load Avg: 1.84, 1.65, 1.65 
CPU usage: 3.36% user, 7.43% sys, 89.20% idle 
SharedLibs: 933M resident, 133M data, 79M linkedit.
MemRegions: 267631 total, 8214M resident, 389M private, 3231M shared.
PhysMem: 32G used (3430M wired, 578M compressor), 288M unused.
VM: 32T vsize, 3409M framework vsize, 14784(0) swapins, 16256(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
23031  com.apple.WebKit 0.0  00:11.16 3      1   88     50372K 28992K 0B     23031 1     sleeping  0[11251]   0.00000 0.00000    501 68303    771     119312    68635     219761    409524    131248     16      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22895  com.apple.WebKit 0.0  00:08.01 3      1   87     61452K 34360K 0B     22895 1     sleeping  0[10282]   0.00000 0.00000    501 57580    469     106871    59994     177819    355056    113076     2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22894  com.apple.WebKit 0.0  00:15.74 3      1   83     71676K 17576K 0B     22894 1     sleeping  0[7821]    0.00000 0.00000    501 76541    481     71216     37506     215763    427563    132331     3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22874  cpptools-srv     0.0  00:00.68 20     0   36     16312K 0B     0B     5741  1     sleeping *0[1]       0.00000 0.00000    501 6036     1327    44        19        75494     181       7992       1545    0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22860  cpptools-srv     0.0  00:00.86 20     0   35     20740K 0B     0B     5741  1     sleeping *0[1]       0.00000 0.00000    501 10354    3220    45        20        98331     188       8993       3608    0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22841  cpptools-srv     0.0  00:02.47 20     0   37     24628K 0B     0B     5741  1     sleeping *0[1]       0.00000 0.00000    501 32696    6150    61        27        386361    212       16460      5701    0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22808  cpptools         0.0  00:22.29 22     0   50     45656K 0B     0B     5741  22805 sleeping *0[1]       0.00000 0.00000    501 73723    1590    251       122       1628651   317       198767     0       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22806  Code Helper      0.0  00:00.52 19     1   96     16928K 0B     0B     5741  5741  sleeping *0[1]       0.00000 0.00000    501 16544    1657    2129      199       15945     10573     7601       0       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22805  Code Helper (Plu 0.0  00:08.30 17     1   88     75332K 0B     0B     5741  5741  sleeping *0[1]       0.00000 0.00000    501 110226   1838    54358     15554     175191    143486    93649      0       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22796  Code Helper (Ren 0.0  03:46.67 27     1   279    225M   0B     0B     5741  5741  sleeping *0[5]       0.00000 0.00000    501 1490354  101850  1201951   513120    1400878   3867607   1269942    24      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
